id,title,subTitle,authorsid1,authorsid2,authorsid3,publisher,publishedDate,description,volumeInfo__pageCount,categories,averageRating,ratingsCount,smallThumbnail,bigThumbnail,language,volumeInfo__previewLink,volumeInfo__infoLink,volumeInfo__canonicalVolumeLink,saleInfo__isEbook,accessInfo__webReaderLink,price
1,Learn about the United States,Quick Civics Lessons for the Naturalization Test,1,,,Citizenship and Immigration Services,2017,Some volumes may contain only black and white illustrations and maps.,36,Education,0,0,http://books.google.com/books/content?id=MArcD2-ve-oC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=MArcD2-ve-oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=MArcD2-ve-oC&printsec=frontcover&dq=subject:Education&hl=&as_brr=5&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=MArcD2-ve-oC&source=gbs_api,https://play.google.com/store/books/details?id=MArcD2-ve-oC,TRUE,http://play.google.com/books/reader?id=MArcD2-ve-oC&hl=&as_brr=5&source=gbs_api,32
2,"A History of the U.S. Army Officer Corps, 1900-1990",,2,,,Department of the Army,2014,"The present volume was written as a supplement to a series of monographs authored by Casey Wardynski, David Lyle, and Mike Colarusso of the Army's Office of Economic and Manpower Analysis, and published by the Strategic Studies Institute of the U.S. Army War College from 2009 to 2010. In those monographs, Wardynski, Lyle, and Colarusso adumbrated an officer corps strategy based on the theory of talent management. This volume aims to provide a historical context for their discussion of an officer strategy (and for what has passed for such a strategy in the past). Like the earlier monographs, this volume is organized around the functionally interdependent concepts of accessing, developing, retaining, and employing talent. Each chapter will take the reader up to the point where the earlier monographs began their story, which generally falls in the timeframe of the late-1980s and early-1990s. The purpose of the present volume is to supplement these OEMA (Office of Economic and Manpower Analysis) monographs by providing a historical context for their discussion of an officer strategy. First an overview is provided, outlining some key developments and assumptions that have guided and shaped the Officer Corps and the way it has been managed over the last century. Other historical products pertaining to the US Army History that may be of interest include the following: A Contemporary History of the U.S. Army Nurse Corps can be found at this link: http: //bookstore.gpo.gov/products/sku/008-023-00139-1 Forging the Shield: The U.S. Army in Europe, 1951-1962 (Hardcover) can be found at this link: http: //bookstore.gpo.gov/products/sku/008-029-00585-9?ctid=151 Forging the Shield (Paperback) can be found at this link: http: //bookstore.gpo.gov/products/sku/008-029-00584-1?ctid=151 Don't forget to subscribe to Army History: The Professional Bulletin of Army History, which can be found at his link: https: //bookstore.gpo.gov/products/sku/708-108-00000-6 This professional military magazine, published four times a year by the U.S. Army Center of Military History (CMH), is devoted to informing the military history community about new work on the Army's history. Issues include illustrated articles, commentaries, book reviews, and news about Army history and the U.S. Army Center of Military History. Quarterly issues feature: Thoughtful illustrated articles about the history of the U.S. Army Incisive book reviews by experts in the field of military history Insightful commentaries News Notes providing the latest information about CMH activities and publications",212,Business & Economics,0,0,http://books.google.com/books/content?id=qDuyGoDqMlIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=qDuyGoDqMlIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=qDuyGoDqMlIC&printsec=frontcover&dq=subject:Education&hl=&as_brr=5&cd=2&source=gbs_api,https://play.google.com/store/books/details?id=qDuyGoDqMlIC&source=gbs_api,https://play.google.com/store/books/details?id=qDuyGoDqMlIC,TRUE,http://play.google.com/books/reader?id=qDuyGoDqMlIC&hl=&as_brr=5&source=gbs_api,34
3,Learn about the United States,Quick Civics Lessons for the Naturalization Test,1,,,Citizenship and Immigration Services,2013,"American Government: In the United States, the government gets its power to govern from the people. We have a government of the people, by the people, and for the people. Citizens in the United States shape their government and its policies, so they must learn about important public issues and get involved in their communities. Learning about American government helps you understand your rights and responsibilities and allows you to fully participate in the American political process. The Founders of this country decided that the United States should be a representative democracy. They wanted a nation ruled by laws, not by men. In a representative democracy, the people choose officials to make laws and represent their views and concerns in government. This book will help you understand the principles of American democracy, the U.S. system of government, and the important rights and responsibilities of U.S. citizenship.",36,Education,0,0,http://books.google.com/books/content?id=F7AgqHUj9swC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=F7AgqHUj9swC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=F7AgqHUj9swC&printsec=frontcover&dq=subject:Education&hl=&as_brr=5&cd=3&source=gbs_api,https://play.google.com/store/books/details?id=F7AgqHUj9swC&source=gbs_api,https://play.google.com/store/books/details?id=F7AgqHUj9swC,TRUE,http://play.google.com/books/reader?id=F7AgqHUj9swC&hl=&as_brr=5&source=gbs_api,22
4,"Defining Command, Leadership, and Management Success Factors Within Stability Operations",,3,,,Strategic Studies Institute U. S. Army War College,2011,"This monograph addresses the topic of Command-Leadership-Management (CLM) success attributes in Stability Operations and is intended to reach a wide audience of actors, including military and civilian deliverers of effect at the strategic, operational, and tactical levels of operations. It was developed from a dissertation and updated while the author was deployed in Iraq at a time of transition from Combat Operations (Operation IRAQI FREEDOM) to fully declared Stability Operations (Operation NEW DAWN).",84,Business & Economics,0,0,http://books.google.com/books/content?id=hilnq01N3AsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=hilnq01N3AsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=hilnq01N3AsC&printsec=frontcover&dq=subject:Education&hl=&as_brr=5&cd=4&source=gbs_api,https://play.google.com/store/books/details?id=hilnq01N3AsC&source=gbs_api,https://play.google.com/store/books/details?id=hilnq01N3AsC,TRUE,http://play.google.com/books/reader?id=hilnq01N3AsC&hl=&as_brr=5&source=gbs_api,42
5,Strengthening School Safety Through Prevention of Bullying,"Joint Hearing Before the Subcommittee on Healthy Families and Communities and the Subcommittee on Early Childhood, Elementary, and Secondary Education, Committee on Education and Labor, U.S. House of Representatives, One Hundred Eleventh Congress, First Session, Hearing Held in Washington, DC, July 8, 2009",4,,,Simon and Schuster,2009,"Preventing Bullying and School Violence is a practical handbook for designing and sustaining effective interventions to address problem behaviors in schools. According to this groundbreaking book, the mental health professional can play a crucial role in preventing school violence by taking the lead in forging collaborative connections between the school and the community to build a healthy academic environment. The hands-on guidance offered in this volume will be eminently useful to clinicians, school counselors, and administrators, as well as other mental health professionals, including social workers and psychologists. ",128,Education,0,0,http://books.google.com/books/content?id=H6Y4T4tv0okC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=H6Y4T4tv0okC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=H6Y4T4tv0okC&printsec=frontcover&dq=subject:Education&hl=&as_brr=5&cd=5&source=gbs_api,https://play.google.com/store/books/details?id=H6Y4T4tv0okC&source=gbs_api,https://play.google.com/store/books/details?id=H6Y4T4tv0okC,TRUE,http://play.google.com/books/reader?id=H6Y4T4tv0okC&hl=&as_brr=5&source=gbs_api,48
6,The Unworthy,A Novel,5,,,Simon and Schuster,1905,"The long-awaited new novel from the author of global sensation Tender Is the Flesh: a thrilling work of literary horror about a woman cloistered in a secretive, violent religious order, while outside the world has fallen into chaos. From her cell in a mysterious convent, a woman writes the story of her life in whatever she can find—discarded ink, dirt, and even her own blood. A lower member of the Sacred Sisterhood, deemed an unworthy, she dreams of ascending to the ranks of the Enlightened at the center of the convent and of pleasing the foreboding Superior Sister. Outside, the world is plagued by catastrophe—cities are submerged underwater, electricity and the internet are nonexistent, and bands of survivors fight and forage in a cruel, barren landscape. Inside, the narrator is controlled, punished, but safe. But when a stranger makes her way past the convent walls, joining the ranks of the unworthy, she forces the narrator to consider her long-buried past—and what she may be overlooking about the Enlightened. As the two women grow closer, the narrator is increasingly haunted by questions about her own past, the environmental future, and her present life inside the convent. How did she get to the Sacred Sisterhood? Why can’t she remember her life before? And what really happens when a woman is chosen as one of the Enlightened? A searing, dystopian tale about climate crisis, ideological extremism, and the tidal pull of our most violent, exploitative instincts, this is another unforgettable novel from a master of feminist horror.",0,Fiction,0,0,http://books.google.com/books/content?id=oEgMEQAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=oEgMEQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com.lb/books?id=oEgMEQAAQBAJ&dq=subject:Fiction&hl=&cd=1&source=gbs_api,http://books.google.com.lb/books?id=oEgMEQAAQBAJ&dq=subject:Fiction&hl=&source=gbs_api,https://books.google.com/books/about/The_Unworthy.html?hl=&id=oEgMEQAAQBAJ,FALSE,http://play.google.com/books/reader?id=oEgMEQAAQBAJ&hl=&source=gbs_api,32
7,"You're the Problem, It's You",A Novel,6,,,HarperCollins,1902,"The enemies-to-lovers queer Victorian romance follow-up to Don’t Want You Like a Best Friend, in which a young lord and a second son clash, but find themselves thrust together again and again by their meddling cousins. “That man is, without a doubt, the absolute most obnoxious… Bobby Mason is sick of being second best: born the spare, never trusted with family responsibility, never expected to amount to much. He’s hungry to contribute something that matters, while all around him his peers are squandering their political and financial power, coasting through life. Which is exactly why he can’t stand the new Viscount Demeroven. …insufferable… James Demeroven, just come of age and into the Viscountcy, knows that he’s a disappointment. Keeping his head down and never raising anyone’s expectations is how he’s survived life with his stepfather. To quiet, careful James, Bobby Mason is a blazing comet in his endless night, even more alive than he was at Oxford when James crushed on him from afar. But Mason is also brash and recklessly unapologetic, destined to shatter the fragile safety of James’s world. Worst of all, he keeps rubbing James’s failures in his face. …hottest man to ever walk the ton.” They can barely get through a single conversation without tensions boiling over. Neither Bobby nor James has ever met a more intriguing, infuriating, infatuating man. If only they could avoid each other entirely. Bad enough their (wonderful but determined) cousins Beth and Gwen keep conveniently setting up group outings. But when an extortionist starts targeting their families, threatening their reputations, Bobby and James must find a way to work together, without pushing each other’s buttons (or tearing them off) in the process…",351,Fiction,0,0,http://books.google.com/books/content?id=HkLnEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=HkLnEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com.lb/books?id=HkLnEAAAQBAJ&dq=subject:Fiction&hl=&cd=2&source=gbs_api,http://books.google.com.lb/books?id=HkLnEAAAQBAJ&dq=subject:Fiction&hl=&source=gbs_api,https://books.google.com/books/about/You_re_the_Problem_It_s_You.html?hl=&id=HkLnEAAAQBAJ,FALSE,http://play.google.com/books/reader?id=HkLnEAAAQBAJ&hl=&source=gbs_api,44
8,The Hike,,7,,,Penguin Group,2024,"No help. No cell coverage. No one to hear them scream. Burned-out by both her marriage and work, Liz is desperate for an escape. More than that, she craves an adventure, a total reset. So, when she plans a vacation with her three best friends, she persuades them to spend four nights camping in the stunning mountains of Norway. Following a trail that climbs through lush valleys, towering peaks, and past jewel-blue lakes, Liz is sure that the hike is just what they need. But as they stride farther from civilization, it becomes clear that the women are not the only ones looking to lose themselves in the mountains. The wilderness hides secrets darker than they could ever have imagined, and if they’re not careful . . . not all of them will return.",385,Fiction,0,0,http://books.google.com/books/content?id=_DQGEQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=_DQGEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=_DQGEQAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&cd=3&source=gbs_api,http://books.google.com.lb/books?id=_DQGEQAAQBAJ&dq=subject:Fiction&hl=&source=gbs_api,https://books.google.com/books/about/The_Hike.html?hl=&id=_DQGEQAAQBAJ,FALSE,http://play.google.com/books/reader?id=_DQGEQAAQBAJ&hl=&source=gbs_api,22
9,8 Months Left,The gripping crime thriller with an unforgettable heroine,8,,,Random House,2024,"Jane Smith is running out of time . . . Her repeat client, Rob Jacobson, is the unluckiest of the unlucky. No sooner is he accused of killing a family of three in the Hamptons than a second family is gunned down. He says he's being set up – again. Despite the odds, Jane believes him. Now she must mount the most complex investigation of her career. But she’s facing her own battle too. A terminal medical condition. The defence may never rest. ___________________________________________ PRAISE FOR THE JANE SMITH THRILLERS 'The phenomenal Patterson, one of the great storytellers of our time, does not often produce a new character, but he does here to stunning effect' Daily Mail 'A gutsy heroine. A ticking clock. A breathless pace. Wow! This one had me reeling' JANE CORRY 'Compelling' Crime Monthly _____________________________________________________________ PRAISE FOR JAMES PATTERSON 'It's no mystery why James Patterson is the world's most popular thriller writer ... Simply put: nobody does it better.' JEFFERY DEAVER 'No one gets this big without amazing natural storytelling talent - which is what Jim has, in spades.' LEE CHILD 'Patterson boils a scene down to the single, telling detail, the element that defines a character or moves a plot along. It's what fires off the movie projector in the reader's mind.' MICHAEL CONNELLY 'James Patterson is The Boss. End of.' IAN RANKIN 'The master storyteller of our times' HILLARY RODHAM CLINTON 'One of the greatest storytellers of all time' PATRICIA CORNWELL 'James Patterson is the gold standard by which all others are judged.' STEVE BERRY 'Patterson knows where our deepest fears are buried ... there's no stopping his imagination' NEW YORK TIMES BOOK REVIEW 'Patterson is in a class by himself' GUARDIAN",336,Fiction,0,0,http://books.google.com/books/content?id=74zjEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=74zjEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=74zjEAAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&cd=4&source=gbs_api,https://play.google.com/store/books/details?id=74zjEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=74zjEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=74zjEAAAQBAJ&hl=&source=gbs_api,36
10,A Sorceress Comes to Call,,9,,,Titan Books,2024,"From New York Times bestselling and Hugo Award-winning author T. Kingfisher comes a dark retelling of the Brothers Grimm's Goose Girl, rife with secrets, murder, and forbidden magic. Perfect for fans of Naomi Novic, Alix E. Harrow and Nettle & Bone. Cordelia knows her mother is unusual. Their house doesn't have any doors between rooms―there are no secrets in this house!―Cordelia isn't allowed to have a single friend. Unless you count Falada, her mother's beautiful white horse. The only time Cordelia feels truly free is on her daily rides with him. But more than a few quirks set her mother apart. Other parents can't force their daughters to be silent and motionless―obedient―for hours or days on end. Other mothers aren't . . . sorcerers.",378,Fiction,0,0,http://books.google.com/books/content?id=ox3gEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=ox3gEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=ox3gEAAAQBAJ&printsec=frontcover&dq=subject:Fiction&hl=&cd=5&source=gbs_api,https://play.google.com/store/books/details?id=ox3gEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=ox3gEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=ox3gEAAAQBAJ&hl=&source=gbs_api,26
